City,City.1,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
153,Lorengau,PG,82.62,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
154,Jadu,LY,71.1,clear sky,31.953,12.0261,امياس للصرافة
155,Katherine,AU,84.52,clear sky,-14.4667,132.2667,Pine Tree Motel
156,Atikokan,CA,71.02,clear sky,48.7555,-91.6216,Quetico Inn (formerly Radisson)
157,Shirpur,IN,76.59,overcast clouds,21.35,74.8833,Hotel Atithi
158,Moindou,NC,70.48,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
159,Kibala,TD,78.75,clear sky,9.1104,18.3463,Prasant Hotels
160,Joshimath,IN,73.22,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
161,Dinguiraye,GN,72.32,overcast clouds,11.3,-10.7167,
162,Bose,IT,74.79,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
163,Belmonte,BR,71.44,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
164,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
165,Axim,GH,74.19,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
166,Port Moresby,PG,81.82,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
167,Luziania,BR,74.89,overcast clouds,-16.2525,-47.9503,HOTEL SARON
168,Luchegorsk,RU,73.24,clear sky,46.4764,134.2569,Mirazh
169,Beboto,TD,71.98,light rain,8.2668,16.939,
170,Esperantinopolis,BR,77.54,few clouds,-4.8667,-44.7083,
171,Jiuquan,CN,76.44,clear sky,39.7432,98.5174,Jiuquan Hotel
172,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
173,Taguatinga,BR,79.0,broken clouds,-12.3857,-46.5711,
174,Fortuna,US,70.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
175,Khor,RU,71.17,broken clouds,47.8861,134.9464,Gostinitsa Deksi
176,Salina Cruz,MX,84.13,broken clouds,16.1667,-95.2,Amerik HOTEL
177,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
178,Ranong,TH,78.73,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
179,Witu,KE,73.56,light rain,-2.3889,40.4382,
180,Milledgeville,US,80.74,scattered clouds,33.0801,-83.2321,Hampton Inn Milledgeville
